adult|budget|nbGenres|original_language|popularity|vote_average|release_date|revenue|runtime|tagline|title|vote_count|Western|Family|Horror|Drama|Fantasy|Science Fiction|Crime|Romance|Action|War|Music|Animation|TV Movie|Documentary|History|Mystery|Thriller|Foreign|Comedy|Adventure
false|0.0|1|en|0.201573|0.0|2017-11-07|0|10||Adolescencia|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|100000.0|2|en|0.201527|9.5|2014-03-13|0|55|So Notorious|The Notorious|4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.201162|0.0|2017-11-09|0|3||VIA|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.200665|8.0|2017-04-26|0|85||Destierros|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|it|0.207863|0.0|2017-11-17|0|||Aspettiamo!|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|2|en|0.207612|0.0|2017-01-13|0|90||Vince Giordano: There's a Future in the Past|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.20685|3.0|2017-03-24|0|0||An American Girl Story - Ivy & Julie 1976: A Happy Balance|1|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.206781|0.0|2017-10-06|0|16||Birthday|0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.206384|0.0|2017-11-10|0|25||Kaputt|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.205965|7.0|2017-05-05|0|0||Porobashinee|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|ar|0.205693|0.0|2017-11-16|0|||Room for a man|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.193659|0.0|2017-07-14|0|78||The Wrong Light|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|2|fr|0.193618|0.0|2017-08-21|0|90||Dog|0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0
false|0.0|0|en|0.193594|0.0|2017-11-10|0|0||Bellator 187: McKee vs Moore|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.193057|0.0|2017-09-26|0|56||Without a Net: The Digital Divide in America|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|2|fr|0.19275|0.0|2017-11-09|0|5||A Hole In The Leg|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|it|0.192709|0.0|2017-05-04|0|||Mexico! Un cinema alla riscossa|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.198804|0.0|2017-09-30|0|11||Learn: 1st World Problems|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|pt|0.198479|0.0|2017-09-20|0|||O Nó do Diabo|0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.198275|0.0|2017-11-12|0|16||In White|0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.198108|10.0|2017-03-21|0|1||HoLy Cycles|1|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|2|ru|0.197589|0.0|2017-06-09|0|11||The Passenger|0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0
false|0.0|0|en|0.194053|0.0|2017-11-10|0|94|Iranian expat cab driver living in London.|Gholam|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|he|0.19404|0.0|2017-05-04|0|0||Indoors|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.193998|0.0|2017-11-10|0|82||Familienleben|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|pt|0.193968|0.0|2017-08-28|0|||Tekoha - Som da Terra|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.193726|0.0|2017-11-03|0|0||Bellator 186: Bader vs. Vassell|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|de|0.19366|0.0|2017-11-03|0|45||Stars at Day|0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|nb|0.205532|0.0|2017-11-16|0|||Aleppos fall|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|3|de|0.205322|0.0|2017-10-20|0|||Das Kindermädchen: Mission Mauritius|0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0
false|0.0|2|en|0.205302|0.0|2017-11-10|0|||Lodgers|0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0
false|0.0|1|fr|0.204181|0.0|2017-11-15|0|||Les Chevaliers du fiel : Noël d'enfer|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
false|0.0|1|en|0.203196|0.0|2017-11-09|0|95||Point of No Return|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.183553|0.0|2017-04-04|0|114||The Last Days of Jesus|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
